Source,Target,Type,Weight
0,1,Directed,0.33755481199465825
0,2,Directed,0.3988866435856863
0,4,Directed,0.2945338453010785
0,8,Directed,0.19281854683413577
0,9,Directed,0.5927580975938619
0,10,Directed,0.36772129256720826
0,13,Directed,0.33826686602399975
0,18,Directed,0.2875843629479679
0,21,Directed,0.26301629426793943
0,24,Directed,0.542035307225391
0,28,Directed,0.26036647581311734
0,30,Directed,0.2364005589427266
0,32,Directed,0.2377141887056461
0,37,Directed,0.1848013277048173
0,48,Directed,0.37538814260350617
1,0,Directed,0.30307645156828983
1,2,Directed,0.24501965796953648
1,3,Directed,0.38719576939247824
1,8,Directed,0.3440793633709163
1,15,Directed,0.5059437404438804
1,50,Directed,0.4784740300722966
1,51,Directed,0.4194039266820556
1,53,Directed,0.45014106562685935
1,60,Directed,0.606627487239995
1,67,Directed,0.4080166865360537
1,69,Directed,0.34392260643269373
1,77,Directed,0.6040787844010893
1,82,Directed,0.2242146830621729
1,90,Directed,0.4649876085627176
1,94,Directed,0.47563403872206883
2,0,Directed,0.3692783757686015
2,1,Directed,0.28469983135960925
2,3,Directed,0.44730304278667893
2,4,Directed,0.36936018521747144
2,6,Directed,0.5692331550087574
2,7,Directed,0.3970293285282422
2,9,Directed,0.5648808009495973
2,11,Directed,0.48373857025668554
2,12,Directed,0.5367569940882719
2,13,Directed,0.3149640719848909
2,16,Directed,0.46064997231240046
2,19,Directed,0.5495293134741382
2,20,Directed,0.20264687620541477
2,25,Directed,0.5092377983462377
2,26,Directed,0.31997975623337727
3,1,Directed,0.3090174410504305
3,2,Directed,0.46167493128453424
3,6,Directed,0.2888775357875748
3,10,Directed,0.42862058717373264
3,11,Directed,0.32799131159918504
3,14,Directed,0.4590261978146764
3,16,Directed,0.184258396344741
3,21,Directed,0.2967634823033478
3,27,Directed,0.4414054067788838
3,28,Directed,0.3057597577346761
3,31,Directed,0.6179676530148447
3,36,Directed,0.2242505380880039
3,38,Directed,0.30004125298274753
3,39,Directed,0.3246522322741601
3,41,Directed,0.43951623349973273
4,0,Directed,0.19258136197692483
4,2,Directed,0.26472880974919843
4,5,Directed,0.5633959491171286
4,7,Directed,0.3404558792421928
4,30,Directed,0.27041142311709565
4,36,Directed,0.41391584036646584
4,38,Directed,0.3100357623508335
